date	Lanham	LErr	School	ScErr	Street	StErr
735090.34375   42.78235    0.21563   51.71700    5.70380   63.08144    1.21391
735090.36458   37.62157    0.27840   44.28333    1.17362   57.13433    1.89048
735090.38542   35.00643    0.16917   36.75650    1.08296   39.48540    1.60626
735090.40625   45.45571    0.19175   45.98940    1.36144   47.63080    1.66260
735090.42708   46.14633    0.21372   52.99940    1.50286   50.69217    1.31161
735090.44792   32.94971    0.15500   37.25900    1.36611   48.66720    1.64871
735090.46875   32.07057    0.14883   34.19333    1.09707   38.84020    1.36857
735090.48958   32.93414    0.14998   39.95067    1.57445   36.12625    1.47790
735090.51042   29.36186    0.14353   31.25420    1.69271   36.23900    1.65025
735090.53125   35.47371    0.15966   36.06580    1.85857   41.60420    1.75565
735090.55208   31.19057    0.14308   30.30360    2.01483   38.65940    1.54647
735090.57292   27.37033    0.13809   35.13860    2.57079   31.72620    1.80247
735090.59375   37.55033    0.16948   37.88260    2.43639   35.81350    1.52193
735090.61458   32.89500    0.15127   30.94067    1.84886   31.18500    1.83582
735090.63542   29.18229    0.12735   25.82580    2.21794   27.27480    1.50498
735090.65625   30.95667    0.15876   26.55283    2.12159   22.16420    1.26134
735090.67708   27.29833    0.13817   36.22417    2.16568   22.68180    1.22084
735090.69792   23.77129    0.11403   25.66800    2.34805   19.49560    1.29287
735090.71875   22.72429    0.11550   25.21417    2.25980   19.34220    1.18150
735090.73958   28.11843    0.14165   26.67500    2.56457   21.18480    1.27140
735090.76042   31.70814    0.15714   33.78220    2.51255   31.03140    1.33233
735090.78125   28.58417    0.16214   32.05750    2.19643   28.98580    1.39473
735090.80208   26.82200    0.14485   26.19433    2.00512   26.84360    1.30766
735090.82292   27.46143    0.14591   23.81280    2.05181   22.40860    1.36088
